Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,136.144,-77.978,180,top
C2,1u,C_0402_1005Metric,136.144,-78.994,180,top
C3,1u,C_0402_1005Metric,139.192,-84.582,0,top
C4,10u,C_0402_1005Metric,139.192,-85.598,0,top
C5,10u,C_0402_1005Metric,153.67,-101.6,-135,top
C6,1u,C_0402_1005Metric,154.432,-102.362,-135,top
C7,1n,C_0402_1005Metric,155.109844,-91.1,90,top
C8,1n,C_0402_1005Metric,155.609844,-88.1,90,top
C9,1n,C_0402_1005Metric,135.859844,-107.85,0,top
C10,1n,C_0402_1005Metric,149.359844,-107.85,0,top
C11,10n,C_0402_1005Metric,143.764,-83.058,180,top
C12,100n,C_0402_1005Metric,143.764,-84.074,180,top
C13,100n,C_0402_1005Metric,146.304,-85.09,0,top
C14,1u,C_0402_1005Metric,146.304,-84.074,0,top
C15,4.7u,C_0402_1005Metric,146.304,-83.058,0,top
C16,1u,C_0402_1005Metric,127.3,-100.1,-60,top
C17,10u,C_0402_1005Metric,133.609844,-92.1,180,top
C18,1u,C_0402_1005Metric,133.609844,-91.1,180,top
C19,1n,C_0402_1005Metric,129.109844,-88.2,-90,top
C20,1n,C_0402_1005Metric,130.109844,-91.1,-90,top
C21,100n,C_0402_1005Metric,135.89,-75.946,90,top
C22,10n,C_0402_1005Metric,119.38,-108.204,30,top
D1,BLUE_LED,LED_0603_1608Metric,131.064,-105.918,180,top
J1,DBG_HDR,PinHeader_1x06_P2.54mm_Vertical,167.005,-102.450739,-30,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,142.61,-67.279,180,top
J3,EXP_HDR,PinSocket_2x02_P2.54mm_Horizontal,156.464,-100.838,170,top
R1,200,R_0603_1608Metric,131.064,-104.394,180,top
R2,5.1k,R_0402_1005Metric,159.512,-105.35,180,top
R3,5.1k,R_0402_1005Metric,133.109844,-100.6,180,top
R4,5.1k,R_0402_1005Metric,133.109844,-102.1,180,top
R5,5.1k,R_0402_1005Metric,133.109844,-99.1,0,top
R6,5.1k,R_0402_1005Metric,149.609844,-71.6,90,top
R7,5.1k,R_0402_1005Metric,150.609844,-71.59,90,top
R8,1M,R_0402_1005Metric,134.109844,-72.1,-90,top
SW1,SW_Push,SW_SPST_TL3305A,122.6,-102.7,-150,top
U1,AP2112K-3.3,SOT-23-5,138.43,-81.788,-90,top
U2,LDC1614,WQFN-16-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,154.609844,-106.35,135,top
U3,STM32F042F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,144.61,-77.6,180,top
U4,LDC1612,WSON-12-1EP_4x4mm_P0.5mm_EP2.6x3mm_ThermalVias,132.109844,-95.6,90,top
U5,USBLC6-2SC6,SOT-23-6,138.43,-75.184,-90,top
X1,XTAL_40MHz,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,125.3,-108.5,30,top
